,UserID,UserName,UserAge,MovieID,MovieName,Rating
0,1,Adam,15,1.0,dinosaur planet,3
1,2,Amir,20,2.0,isle of man tt 2004 review,2
2,3,Brad,25,3.0,character,1
3,4,Krishna,35,4.0,paula abdul's get up & dance,4
4,5,Sangy,21,5.0,the rise and fall of ecw,5
5,6,Mandar,36,6.0,sick,4
6,7,Pushkar,19,7.0,8 man,3
7,8,Gary,20,8.0,what the hell do we know!?,2
8,9,Ghalia,40,9.0,class of nuke 'em high 2,1
9,10,Ana,13,10.0,fighter,2
10,4,Krishna,35,11.0,full frame: documentary shorts,3
11,5,Sangy,21,12.0,my favorite brunette,4
12,6,Mandar,36,13.0,lord of the rings: the return of the king: extended edition: bonus material,5
13,7,Pushkar,19,14.0,nature: antarctica,2
14,1,Adam,15,15.0,neil diamond: greatest hits live,2
15,2,Amir,20,16.0,screamers,3
16,3,Brad,25,17.0,7 seconds,4
17,4,Krishna,35,18.0,immortal beloved,2
18,5,Sangy,21,19.0,by dawn's early light,3
19,8,Gary,20,20.0,seeta aur geeta,4
20,9,Ghalia,40,21.0,strange relations,4
21,10,Ana,13,22.0,chump change,5
22,4,Krishna,35,23.0,clifford: clifford saves the day! clifford's fluffiest friend cleo,4
23,2,Amir,20,24.0,my bloody valentine,3
24,3,Brad,25,25.0,inspector morse 31: death is now my neighbour,2
25,4,Krishna,35,26.0,never die alone,4
26,5,Sangy,21,27.0,sesame street: elmo's world: the street we live on,5
27,6,Mandar,36,28.0,lilo and stitch,3
28,7,Pushkar,19,29.0,boycott,3
29,8,Gary,20,30.0,something's gotta give,4
30,9,Ghalia,40,31.0,classic albums: meat loaf: bat out of hell,5
31,10,Ana,13,32.0,abc primetime: mel gibson's the passion of the christ,2
32,4,Krishna,35,33.0,aqua teen hunger force: vol. 1,1
33,5,Sangy,21,34.0,ashtanga yoga: beginner's practice with nicki doane,2
34,6,Mandar,36,35.0,ferngully 2: the magical rescue,3
35,1,Adam,15,36.0,lady chatterley,3
36,2,Amir,20,37.0,zatoichi's conspiracy,5
37,3,Brad,25,38.0,daydream obsession,5
38,4,Krishna,35,39.0,love reinvented,5
39,5,Sangy,21,40.0,pitcher and the pin-up,3
40,6,Mandar,36,41.0,horror vision,2
41,7,Pushkar,19,42.0,searching for paradise,3
42,8,Gary,20,43.0,silent service,4
43,9,Ghalia,40,44.0,spitfire grill,2
44,10,Ana,13,45.0,the love letter,1
45,4,Krishna,35,46.0,rudolph the red-nosed reindeer,3
46,5,Sangy,21,47.0,the bad and the beautiful,4
47,6,Mandar,36,48.0,justice league,5
48,7,Pushkar,19,49.0,devo: the complete truth about de-evolution,3
49,1,Adam,15,50.0,a yank in the raf,2
50,7,Pushkar,19,51.0,jonah: a veggietales movie: bonus material,3
51,8,Gary,20,52.0,the weather underground,4
52,9,Ghalia,40,53.0,the bonesetter,5
53,10,Ana,13,54.0,we're not married,3
54,4,Krishna,35,55.0,jade,3
55,5,Sangy,21,56.0,carandiru,1
56,6,Mandar,36,57.0,richard iii,2
57,7,Pushkar,19,58.0,dragonheart,3
58,1,Adam,15,59.0,sex and the beauties,4
59,7,Pushkar,19,60.0,the libertine,5
